ward,population,area_km2,lat,lon
Naka,99120,9.38,35.1681,136.9066
Higashi,87230,7.71,35.1819,136.9304
Kita,165340,17.53,35.2086,136.9161
Nishi,153210,17.94,35.1890,136.8771
Nakamura,137800,16.30,35.1706,136.8812
Mizuho,106340,11.22,35.1294,136.9376
Atsuta,66780,8.20,35.1263,136.9007
Minato,143500,45.64,35.1080,136.8506
Minami,136900,18.46,35.0961,136.9278
Moriyama,175010,34.01,35.2056,137.0056
Midori,244900,37.91,35.0844,136.9531
Meito,166850,21.51,35.1872,137.0311
Tempaku,163020,21.58,35.1175,136.9763
Showa,108650,10.94,35.1494,136.9294
Chikusa,164330,18.18,35.1722,136.9547
Nakagawa,217690,32.02,35.1344,136.8636
